r,f_r
1,26214
2,5200
3,2231
4,1321
5,813
6,604
7,448
8,328
9,294
10,244
11,206
12,165
13,140
14,147
15,105
16,90
17,80
18,88
19,87
20,69
21,52
22,57
23,55
24,48
25,40
26,38
27,30
28,35
29,34
30,24
31,25
32,29
33,27
34,20
35,20
36,20
37,26
38,23
39,21
40,11
41,20
42,17
43,16
44,17
45,9
46,13
47,18
48,16
49,9
50,17
51,14
52,13
53,12
54,6
55,8
56,12
57,6
58,13
59,3
60,5
61,12
62,8
63,9
64,10
65,6
66,15
67,6
68,2
69,7
70,7
71,1
72,4
73,6
74,8
75,6
76,7
77,4
78,5
79,6
80,7
81,1
82,5
83,3
84,2
85,2
86,3
87,7
89,9
90,5
91,4
92,1
93,4
94,2
95,7
96,5
97,2
98,4
99,5
100,6
101,5
102,9
103,4
104,3
105,2
106,2
107,3
108,3
109,2
110,4
111,2
112,1
113,3
114,2
115,5
116,1
117,5
118,5
119,3
120,2
121,1
122,2
123,5
125,1
126,3
127,5
128,2
129,1
130,3
131,3
132,2
133,2
134,2
135,1
136,3
137,3
139,2
140,1
141,2
143,1
144,3
145,1
146,3
147,3
148,1
150,1
151,1
152,3
154,1
155,3
156,2
157,3
158,2
159,3
160,3
161,2
163,3
164,2
165,2
166,1
167,1
168,4
169,1
172,2
173,1
175,2
176,1
178,3
179,1
180,2
181,2
182,4
185,1
186,1
187,1
188,1
190,3
192,1
193,1
194,2
197,2
201,1
202,1
203,1
204,2
205,1
206,1
207,1
210,1
211,1
220,1
222,2
223,2
225,1
226,1
227,3
228,3
229,3
230,1
231,2
232,1
233,1
235,1
236,1
237,1
238,3
242,3
243,1
244,1
250,1
258,1
259,1
260,1
261,1
262,1
266,2
269,1
273,1
277,1
279,1
280,1
281,1
282,1
283,2
285,1
287,1
289,1
290,1
291,2
293,1
300,1
302,1
303,1
305,1
310,1
317,1
318,1
319,1
320,1
323,2
324,2
326,1
327,1
332,1
335,1
336,1
338,2
340,1
342,1
343,1
347,1
351,1
356,1
357,1
358,1
359,1
371,1
372,1
377,2
383,1
385,1
391,1
392,1
394,1
397,1
409,1
413,1
428,1
432,1
437,1
440,1
442,1
445,1
447,1
449,1
452,1
461,1
462,1
473,1
484,1
491,1
503,1
514,2
518,1
528,1
539,1
542,1
543,1
548,1
556,1
566,1
570,1
574,1
597,1
599,1
621,1
629,1
632,1
677,1
692,1
693,1
695,1
698,1
705,1
711,1
725,1
729,1
731,1
760,1
783,1
790,1
801,1
809,1
836,1
862,1
872,1
873,1
890,1
914,1
932,1
935,1
972,1
1006,1
1029,1
1045,1
1048,1
1053,1
1112,1
1127,1
1151,1
1165,1
1166,1
1180,1
1182,1
1192,1
1229,1
1306,1
1377,1
1460,1
1461,1
1516,1
1548,1
1884,1
1890,1
1918,1
1997,1
2000,1
2168,1
2208,2
2238,1
2360,1
2581,1
2734,1
2866,1
2944,1
3135,1
3179,1
3218,1
3249,1
3289,1
3877,1
4215,1
4412,1
5185,1
5483,1
6404,1
6421,1
6442,1
8314,1
8961,1
9678,1
10341,1
10438,1
10654,1
10827,1
13549,1
307391,1
